date,product,category,price,current_stock,sold,revenue,weather,festival,location,restock_added
2025-02-24,Shirt,Formal,1566,39,3,4698,Sunny,None,Chattogram,0
2025-03-23,Panjabi,Ethnic,1861,16,4,7444,Sunny,None,Sylhet,0
2025-06-03,T-Shirt,Casual,696,51,1,696,Cold,None,Sylhet,0
2025-09-12,T-Shirt,Casual,654,42,9,5886,Sunny,None,Chattogram,0
2025-04-27,Shirt,Formal,1257,39,0,0,Rainy,Eid,Sylhet,0
2025-07-03,Shirt,Formal,1364,38,1,1364,Sunny,None,Chattogram,0
2025-11-25,Shirt,Formal,1401,33,5,7005,Rainy,None,Sylhet,0
2025-06-17,T-Shirt,Casual,615,40,2,1230,Rainy,None,Dhaka,0
2025-07-18,Panjabi,Ethnic,1756,39,11,19316,Humid,None,Sylhet,34
2025-03-12,Hoodie,Winter,2221,58,1,2221,Sunny,Ramadan,Sylhet,0
2025-11-17,Saree,Traditional,3051,23,1,3051,Cold,None,Sylhet,0
2025-07-10,Panjabi,Ethnic,1772,29,10,17720,Sunny,None,Sylhet,0
2025-01-26,Jeans,Denim,2623,24,0,0,Rainy,None,Chattogram,0
2025-01-31,Saree,Traditional,3272,23,0,0,Rainy,None,Sylhet,0
2025-06-26,Hoodie,Winter,2274,58,0,0,Cold,None,Chattogram,0
2025-08-26,Panjabi,Ethnic,1787,21,8,14296,Humid,None,Sylhet,0
2025-04-08,Saree,Traditional,3407,15,8,27256,Rainy,Eid,Dhaka,0
2025-05-07,T-Shirt,Casual,764,35,5,3820,Sunny,Eid,Chattogram,0
2025-12-08,Hoodie,Winter,2115,48,10,21150,Cold,None,Dhaka,0
2025-03-31,Panjabi,Ethnic,1909,19,2,3818,Sunny,None,Dhaka,0
2025-09-14,T-Shirt,Casual,639,31,4,2556,Cold,None,Sylhet,0
2025-08-21,T-Shirt,Casual,596,26,5,2980,Humid,None,Sylhet,0
2025-08-31,Shirt,Formal,1416,32,1,1416,Sunny,None,Chattogram,0
2025-04-12,Shirt,Formal,1364,25,7,9548,Cold,Eid,Sylhet,0
2025-06-23,Hoodie,Winter,2372,43,5,11860,Sunny,None,Sylhet,0
2025-06-05,T-Shirt,Casual,862,26,0,0,Cold,None,Chattogram,0
2025-05-01,Saree,Traditional,3417,40,15,51255,Sunny,Eid,Chattogram,40
2025-12-01,Panjabi,Ethnic,1678,18,1,1678,Sunny,None,Chattogram,0
2025-04-04,Jeans,Denim,2451,23,1,2451,Cold,Eid,Sylhet,0
2025-05-09,T-Shirt,Casual,653,21,5,3265,Rainy,None,Dhaka,0
2025-01-09,Shirt,Formal,1317,19,6,7902,Humid,None,Sylhet,0
2025-02-26,T-Shirt,Casual,700,18,3,2100,Rainy,None,Sylhet,0
2025-07-05,Shirt,Formal,1413,15,4,5652,Sunny,None,Dhaka,0
2025-12-13,Hoodie,Winter,2392,31,12,28704,Sunny,None,Dhaka,0
2025-02-21,Shirt,Formal,1542,10,5,7710,Rainy,None,Chattogram,0
2025-09-05,Saree,Traditional,3257,27,13,42341,Humid,None,Sylhet,0
2025-06-04,Shirt,Formal,1599,44,4,6396,Sunny,None,Sylhet,38
2025-10-27,T-Shirt,Casual,751,15,3,2253,Rainy,None,Chattogram,0
2025-02-11,T-Shirt,Casual,857,14,1,857,Humid,None,Chattogram,0
2025-09-07,Jeans,Denim,2262,23,0,0,Rainy,None,Chattogram,0
2025-01-19,Shirt,Formal,1388,44,0,0,Cold,None,Sylhet,0
2025-06-20,Saree,Traditional,3106,24,3,9318,Sunny,None,Dhaka,0
2025-10-15,Shirt,Formal,1622,41,3,4866,Rainy,None,Chattogram,0
2025-02-18,Jeans,Denim,2273,23,0,0,Cold,None,Chattogram,0
2025-01-24,Hoodie,Winter,2060,17,14,28840,Cold,None,Chattogram,0
2025-06-18,Panjabi,Ethnic,1746,11,7,12222,Cold,None,Chattogram,0
2025-08-08,Panjabi,Ethnic,2045,36,4,8180,Rainy,None,Chattogram,29
2025-05-02,Shirt,Formal,1400,35,6,8400,Cold,Eid,Chattogram,0
2025-09-06,Hoodie,Winter,2196,17,0,0,Humid,None,Chattogram,0
2025-10-19,Hoodie,Winter,2237,14,3,6711,Cold,None,Sylhet,0
2025-03-14,Jeans,Denim,2309,23,0,0,Rainy,None,Sylhet,0
2025-04-14,T-Shirt,Casual,901,12,2,1802,Humid,Pohela Boishakh,Sylhet,0
2025-12-07,T-Shirt,Casual,550,11,1,550,Cold,None,Chattogram,0
2025-09-17,T-Shirt,Casual,633,46,3,1899,Sunny,None,Sylhet,38
2025-09-05,Hoodie,Winter,2127,14,0,0,Rainy,None,Sylhet,0
2025-05-02,Hoodie,Winter,2340,14,0,0,Sunny,None,Chattogram,0
2025-06-27,Jeans,Denim,2348,23,0,0,Sunny,None,Chattogram,0
2025-09-19,Panjabi,Ethnic,1660,32,4,6640,Sunny,None,Chattogram,0
2025-06-01,Hoodie,Winter,2341,10,4,9364,Humid,None,Dhaka,0
2025-11-25,T-Shirt,Casual,717,43,3,2151,Cold,None,Sylhet,0
2025-02-20,T-Shirt,Casual,598,43,0,0,Cold,None,Chattogram,0
2025-09-07,Panjabi,Ethnic,1685,31,1,1685,Rainy,None,Dhaka,0
2025-07-11,Shirt,Formal,1436,35,0,0,Rainy,None,Chattogram,0
2025-08-08,Shirt,Formal,1431,33,2,2862,Sunny,None,Sylhet,0
2025-08-16,Jeans,Denim,2373,23,0,0,Humid,None,Dhaka,0
2025-03-07,Hoodie,Winter,2111,58,2,4222,Humid,Ramadan,Dhaka,50
2025-07-31,Saree,Traditional,3425,22,2,6850,Rainy,None,Dhaka,0
2025-08-23,Hoodie,Winter,2237,54,4,8948,Cold,None,Dhaka,0
2025-04-22,Saree,Traditional,3398,50,17,57766,Rainy,Eid,Chattogram,45
2025-01-19,Jeans,Denim,2486,23,0,0,Humid,None,Sylhet,0
2025-04-22,Shirt,Formal,1386,30,3,4158,Sunny,None,Dhaka,0
2025-12-10,Panjabi,Ethnic,1855,27,4,7420,Rainy,None,Chattogram,0
2025-01-26,Shirt,Formal,1255,26,4,5020,Humid,None,Chattogram,0
2025-11-06,Jeans,Denim,2373,23,0,0,Rainy,None,Chattogram,0
2025-09-10,Shirt,Formal,1389,23,3,4167,Rainy,None,Chattogram,0
2025-04-25,Shirt,Formal,1257,19,4,5028,Sunny,Ramadan,Dhaka,0
2025-02-26,T-Shirt,Casual,780,41,2,1560,Sunny,None,Dhaka,0
2025-07-02,T-Shirt,Casual,853,39,2,1706,Rainy,None,Sylhet,0
2025-04-11,Hoodie,Winter,2224,51,3,6672,Sunny,Ramadan,Dhaka,0
2025-10-02,Saree,Traditional,3158,48,2,6316,Sunny,None,Dhaka,0
2025-10-17,Hoodie,Winter,2257,46,5,11285,Cold,None,Sylhet,0
